symbol,root,name,exch,date,oi,price,mult,mrate,margin,mstat
M0,M,豆粕连续,大商所,2026-08-21,2467335,3228.0,10.0,0.08,2582.0,OK(<=2万)
RB0,RB,螺纹钢连续,上期所,2026-08-21,1748834,3039.0,10.0,0.09,2735.0,OK(<=2万)
FG0,FG,玻璃连续,郑商所,2026-08-21,1601238,907.0,20.0,0.1,1814.0,OK(<=2万)
HC0,HC,热轧卷板连续,上期所,2026-08-21,1105962,3295.0,10.0,0.09,2966.0,OK(<=2万)
SA0,SA,纯碱连续,郑商所,2026-08-21,1044423,1039.0,20.0,0.1,2078.0,OK(<=2万)
C0,C,玉米连续,大商所,2026-08-21,1034062,2264.0,10.0,0.08,1811.0,OK(<=2万)
V0,V,PVC连续,大商所,2026-08-21,921467,4679.0,5.0,0.08,1872.0,OK(<=2万)
MA0,MA,甲醇连续,郑商所,2026-08-21,873688,2909.0,10.0,0.09,2618.0,OK(<=2万)
TA0,TA,PTA连续,郑商所,2026-08-21,856670,5732.0,5.0,0.08,2293.0,OK(<=2万)
Y0,Y,豆油连续,大商所,2026-08-21,722921,8824.0,10.0,0.08,7059.0,OK(<=2万)
RM0,RM,菜粕连续,郑商所,2026-08-21,651265,2238.0,10.0,0.08,1790.0,OK(<=2万)
SR0,SR,白糖连续,郑商所,2026-08-21,608798,5383.0,10.0,0.08,4306.0,OK(<=2万)
P0,P,棕榈油连续,大商所,2026-08-21,566941,10160.0,10.0,0.08,8128.0,OK(<=2万)
CF0,CF,棉花连续,郑商所,2026-08-21,559852,17065.0,5.0,0.08,6826.0,OK(<=2万)
I0,I,铁矿石连续,大商所,2026-08-21,549726,707.5,100.0,0.11,7782.0,OK(<=2万)
PP0,PP,聚丙烯连续,大商所,2026-08-21,520570,8121.0,5.0,0.08,3248.0,OK(<=2万)
JM0,JM,焦煤连续,大商所,2026-08-21,473573,1581.5,60.0,0.12,11387.0,OK(<=2万)
SF0,SF,硅铁连续,郑商所,2026-08-21,470699,6022.0,5.0,0.1,3011.0,OK(<=2万)
SM0,SM,锰硅连续,郑商所,2026-08-21,419534,5964.0,5.0,0.1,2982.0,OK(<=2万)
A0,A,豆一连续,大商所,2026-08-21,391461,5022.0,10.0,0.08,4018.0,OK(<=2万)
L0,L,塑料连续,大商所,2026-08-21,381901,7864.0,5.0,0.08,3146.0,OK(<=2万)
LC0,LC,碳酸锂连续,广期所,2026-08-21,353437,158680.0,1.0,0.1,15868.0,OK(<=2万)
OI0,OI,菜油连续,郑商所,2026-08-21,344534,10490.0,10.0,0.08,8392.0,OK(<=2万)
BU0,BU,沥青连续,上期所,2026-08-21,334627,4508.0,10.0,0.1,4508.0,OK(<=2万)
EB0,EB,苯乙烯连续,大商所,2026-08-21,321821,8768.0,5.0,0.1,4384.0,OK(<=2万)
SI0,SI,工业硅连续,广期所,2026-08-21,304492,8790.0,5.0,0.09,3956.0,OK(<=2万)
FU0,FU,燃料油连续,上期所,2026-08-21,285614,3845.0,10.0,0.1,3845.0,OK(<=2万)
AO0,AO,氧化铝连续,上期所,2026-08-21,284910,2698.0,20.0,0.09,4856.0,OK(<=2万)
JD0,JD,鸡蛋连续,大商所,2026-08-21,276778,3834.0,10.0,0.08,3067.0,OK(<=2万)
EG0,EG,乙二醇连续,大商所,2026-08-21,272984,5202.0,10.0,0.09,4682.0,OK(<=2万)
AL0,AL,铝连续,上期所,2026-08-21,267438,23710.0,5.0,0.09,10670.0,OK(<=2万)
CS0,CS,淀粉连续,大商所,2026-08-21,262385,2574.0,10.0,0.08,2059.0,OK(<=2万)
SP0,SP,纸浆连续,上期所,2026-08-21,260902,4892.0,10.0,0.09,4403.0,OK(<=2万)
SH0,SH,烧碱连续,郑商所,2026-08-21,242303,1920.0,30.0,0.08,4608.0,OK(<=2万)
UR0,UR,尿素连续,郑商所,2026-08-21,238339,1770.0,20.0,0.08,2832.0,OK(<=2万)
PK0,PK,花生连续,郑商所,2026-08-21,236483,8138.0,5.0,0.08,3255.0,OK(<=2万)
B0,B,豆二连续,大商所,2026-08-21,226845,4023.0,10.0,0.08,3218.0,OK(<=2万)
PF0,PF,短纤连续,郑商所,2026-08-21,196593,7650.0,5.0,0.08,3060.0,OK(<=2万)
LH0,LH,生猪连续,大商所,2026-08-21,194867,12250.0,16.0,0.08,15680.0,OK(<=2万)
CJ0,CJ,红枣连续,郑商所,2026-08-21,173096,8145.0,5.0,0.1,4072.0,OK(<=2万)
PX0,PX,对二甲苯连续,郑商所,2026-08-21,162235,8252.0,5.0,0.08,3301.0,OK(<=2万)
RU0,RU,天然橡胶连续,上期所,2026-08-21,145205,18500.0,10.0,0.09,16650.0,OK(<=2万)
ZN0,ZN,沪锌连续,上期所,2026-08-21,138692,25710.0,5.0,0.09,11570.0,OK(<=2万)
SS0,SS,不锈钢连续,上期所,2026-08-21,116579,14200.0,5.0,0.09,6390.0,OK(<=2万)
NI0,NI,镍连续,上期所,2026-08-21,115469,129200.0,1.0,0.12,15504.0,OK(<=2万)
BR0,BR,丁二烯橡胶连续,上期所,2026-08-21,113070,14625.0,5.0,0.09,6581.0,OK(<=2万)
PS0,PS,多晶硅连续,广期所,2026-08-21,110291,38430.0,3.0,0.09,10376.0,OK(<=2万)
AP0,AP,苹果连续,郑商所,2026-08-21,104422,7666.0,10.0,0.1,7666.0,OK(<=2万)
PG0,PG,液化石油气连续,大商所,2026-08-21,103633,5799.0,20.0,0.1,11598.0,OK(<=2万)
